stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
103,225,"Modoc & Oak",,34.424457,-119.723035,,,,,,2
104,227,"Anapamu & Garden",,34.426336,-119.701460,,,,,,2
105,228,"Anapamu & Olive",,34.428424,-119.699169,,,,,,2
106,229,"Milpas & Figueroa",,34.431842,-119.692830,,,,,,2
107,23,"Cliff & Loma Alta",,34.406724,-119.700626,,,,,,2
108,230,"Milpas & Canon Perdido",,34.429679,-119.690090,,,,,,2
109,231,"Milpas & De La Guerra",,34.429383,-119.689330,,,,,,2
110,233,"Salinas & Clifton",,34.426302,-119.672700,,,,,,2
111,234,"Salinas & Mason",,34.427540,-119.674540,,,,,,2
112,235,"Salinas & Cacique",,34.424751,-119.670520,,,,,,2
113,236,"Punta Gorda at Bridge",,34.420955,-119.670648,,,,,,2
114,237,"Voluntario & Hutash",,34.421116,-119.672963,,,,,,2
115,238,"Voluntario & Carpinteria",,34.422747,-119.675242,,,,,,2
116,239,"Milpas & Carpinteria",,34.421332,-119.678330,,,,,,2
117,24,"Hollister & Turnpike",,34.436539,-119.788930,,,,,,2
118,240,"Milpas & Mason",,34.422752,-119.680270,,,,,,2
119,241,"Milpas & Haley",,34.426609,-119.685580,,,,,,2
120,242,"Milpas & Ortega",,34.428407,-119.688030,,,,,,2
121,243,"Anapamu & Nopal",,34.431839,-119.695560,,,,,,2
122,244,"State & Sola",,34.425561,-119.707337,,,,,,2
123,245,"State & Arrellaga",,34.427340,-119.709783,,,,,,2
124,246,"State & Valerio",,34.428290,-119.711070,,,,,,2
125,247,"State & Islay",,34.429224,-119.712347,,,,,,2
126,248,"State & Pueblo",,34.433564,-119.718274,,,,,,2
127,249,"State & Quinto",,34.435694,-119.721195,,,,,,2
128,25,"Hollister & Kellogg",,34.435562,-119.821100,,,,,,2
129,250,"State & Constance",,34.436688,-119.722534,,,,,,2
131,252,"State & Calle Laureles",,34.440475,-119.728022,,,,,,2
132,253,"State & Calle Palo Colorado",,34.440480,-119.730727,,,,,,2
133,254,"State & Broadmoor",,34.440332,-119.737170,,,,,,2
134,255,"State & Ontare",,34.440535,-119.740565,,,,,,2
135,256,"State & Hope",,34.440555,-119.747010,,,,,,2
136,257,"State & Highway 154",,34.440689,-119.760500,,,,,,2
